Title,Artist,Hash_tag,Price,URL,img,Type
아빠 엄마 아이,칼 라르손 (Carl Larsson),#사실주의 #레트로 #편안,"43,000 ",https://www.wart.co.kr/product/%EC%95%84%EB%B9%A0-%EC%97%84%EB%A7%88-%EC%95%84%EC%9D%B4/13232/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/6ae3cf7a48554abb68b71a716a8cd5d9.jpg,Masterpiece
스키를 신고 있는 소녀,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #힐링,"43,000 ",https://www.wart.co.kr/product/%EC%8A%A4%ED%82%A4%EB%A5%BC-%EC%8B%A0%EA%B3%A0-%EC%9E%88%EB%8A%94-%EC%86%8C%EB%85%80/13231/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/d22278ad3d1dc5fb3cc90b1c54d8cd84.jpg,Masterpiece
"브리타, 고양이 그리고 샌드위치",칼 라르손 (Carl Larsson),#사실주의 #로멘틱 #힐링,"43,000 ",https://www.wart.co.kr/product/%EB%B8%8C%EB%A6%AC%ED%83%80-%EA%B3%A0%EC%96%91%EC%9D%B4-%EA%B7%B8%EB%A6%AC%EA%B3%A0-%EC%83%8C%EB%93%9C%EC%9C%84%EC%B9%98/13230/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/1b9cd4bfb84aec7ee2d19635a6c67d7c.jpg,Masterpiece
목가적인 봄,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #편안,"43,000 ",https://www.wart.co.kr/product/%EB%AA%A9%EA%B0%80%EC%A0%81%EC%9D%B8-%EB%B4%84/13229/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/9da77b9df9f073936e1147225deaa0d8.jpg,Masterpiece
모델 스키버 바이코트,칼 라르손 (Carl Larsson),#사실주의 #클래식 #편안,"43,000 ",https://www.wart.co.kr/product/%EB%AA%A8%EB%8D%B8-%EC%8A%A4%ED%82%A4%EB%B2%84-%EB%B0%94%EC%9D%B4%EC%BD%94%ED%8A%B8/13228/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/5c6649162a45947a1532a5b78d6eb870.jpg,Masterpiece
동생과 나,칼 라르손(Carl Larsson),#수채화 #로맨틱 #인물,"43,000 ",https://www.wart.co.kr/product/%EB%8F%99%EC%83%9D%EA%B3%BC-%EB%82%98/13227/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/d700741c7d4b39420017c3ab42133950.jpg,Masterpiece
기념일,칼 라르손 (Carl Larsson),#사실주의 #클래식 #편안,"43,000 ",https://www.wart.co.kr/product/%EA%B8%B0%EB%85%90%EC%9D%BC/13226/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/eee9a91c481109af1d253fd65ecbb67d.jpg,Masterpiece
굿 나잇,칼 라르손 (Carl Larsson),#사실주의 #클래식 #차분,"43,000 ",https://www.wart.co.kr/product/%EA%B5%BF-%EB%82%98%EC%9E%87/13225/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/6d0c2bbcfca9ce7313607d536acc2943.jpg,Masterpiece
구석에서,칼 라르손 (Carl Larsson),#사실주의 #클래식 #차분,"43,000 ",https://www.wart.co.kr/product/%EA%B5%AC%EC%84%9D%EC%97%90%EC%84%9C/13224/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/3a473d9d5b7768a5d06df05381fb48bc.jpg,Masterpiece
게으름뱅이 코너,칼 라르손 (Carl Larsson),#사실주의 #클래식 #차분,"43,000 ",https://www.wart.co.kr/product/%EA%B2%8C%EC%9C%BC%EB%A6%84%EB%B1%85%EC%9D%B4-%EC%BD%94%EB%84%88/13223/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/259971510e69035cd3929beabb0396ac.jpg,Masterpiece
